Player,Price
Richie Laryea,700000.0
Serge Aurier,100000.0
Alfie Harrison,1000000.0
Matz Sels,8000000.0
Adam Wharton,21100000.0
Joe Gauci,1500000.0
Theo Corbeanu,1500000.0
Morgan Rogers,9400000.0
Pablo Fornals,8000000.0
Isak Hansen-Aarøen,300000.0
Daniel Muñoz,8000000.0
Daiki Hashioka,2000000.0
Hákon Rafn Valdimarsson,3000000.0
Ivo Grbic,2500000.0
Claudio Echeverri,18500000.0
Kosta Nedeljkovic,7600000.0
Valentín Barco,9200000.0
Conor Coventry,1200000.0
Yunus Emre Konak,4500000.0
Radu Drăgușin,25000000.0
Gustavo Scarpa,5000000.0
Finn Azaz,2900000.0
Nahuel Ferraresi,4300000.0
Adrian Mazilu,3000000.0
Marcelo Flores,800000.0
Demarai Gray,9300000.0
Moussa Djenepo,3500000.0
Andi Zeqiri,2800000.0
Davinson Sánchez,9500000.0
Tom Cannon,8800000.0
Jaden Philogene,5800000.0
Andrew Omobamidele,12900000.0
Nicolás Domínguez,10000000.0
Jean-Ricner Bellegarde,15000000.0
Ross Stewart,9300000.0
Alex Iwobi,25700000.0
Ibrahim Sangaré,35000000.0
Rob Holding,1200000.0
Brennan Johnson,55000000.0
Odysseas Vlachodimos,4900000.0
Ryan Gravenberch,40000000.0
Cole Palmer,47000000.0
Callum Hudson-Odoi,3500000.0
Altay Bayindir,5000000.0
Keinan Davis,2300000.0
Matheus Nunes,62000000.0
Murillo,12000000.0
Santiago Bueno,12000000.0
Andy Irving,1800000.0
Dean Henderson,17500000.0
Steven Benda,900000.0
Folarin Balogun,30000000.0
Beto,25000000.0
Carlos Baleba,27000000.0
Timothy Castagne,13000000.0
Cameron Archer,21600000.0
Nathan Tella,23300000.0
Mohammed Kudus,43000000.0
Djordje Petrovic,16000000.0
Mohamed Dräger,400000.0
Jérémy Doku,60000000.0
Aymeric Laporte,27500000.0
Aaron Ramsey,16500000.0
Hannes Delcroix,3000000.0
Konstantinos Mavropanos,20000000.0
Tyler Adams,26900000.0
Sergi Canós,300000.0
Aleksandar Mitrović,52600000.0
Lewis Richards,35000.0
Roméo Lavia,62100000.0
Wataru Endo,20000000.0
Jake O'Brien,1000000.0
Matej Kovar,5000000.0
James Ward-Prowse,34800000.0
Moisés Caicedo,116000000.0
Fred,9700000.0
Wilson Odobert,12000000.0
Harry Kane,95000000.0
Gustavo Hamer,17300000.0
Chermiti,12500000.0
Max Aarons,8100000.0
Jacob Brown,2900000.0
Edson Álvarez,38000000.0
Alex Scott,23000000.0
Vini Souza,12500000.0
Matt Turner,8199999.999999999
Sander Berge,13900000.0
Michal Karbownik,2500000.0
Nikola Vlašić,10600000.0
Micky van de Ven,40000000.0
Alejo Veliz,15000000.0
Tino Livramento,37200000.0
Gianluca Scamacca,25600000.0
Robert Sánchez,23000000.0
Ashley Phillips,2300000.0
Matheus França,20000000.0
Rasmus Højlund,73900000.0
Josko Gvardiol,90000000.0
Axel Disasi,45000000.0
Carlos Forbs,14000000.0
Matija Sarkic,1400000.0
Auston Trusty,5800000.0
Thomas Kaminski,2900000.0
Aaron Connolly,1400000.0
Harrison Parker,800000.0
Braian Ojeda,3600000.0
Iliman Ndiaye,17000000.0
Mohammed Salisu,15000000.0
Lesley Ugochukwu,27000000.0
Fabinho,46700000.0
Stephy Mavididi,7500000.0
Allan Saint-Maximin,27200000.0
Karl Darlow,400000.0
Ryan Giles,5900000.0
Calvin Bassey,22500000.0
Riyad Mahrez,35000000.0
Jordan Henderson,14000000.0
Igor,16200000.0
Adedire Mebude,1800000.0
Sam Surridge,5800000.0
Raúl Jiménez,6400000.0
Luca Koleosho,3000000.0
Anthony Elanga,17500000.0
Carlos Mendes,300000.0
Harvey Barnes,44000000.0
Alex Telles,4600000.0
Bobby Thomas,2300000.0
Moussa Diaby,55000000.0
Reda Khadra,1900000.0
James Trafford,17300000.0
André Onana,50200000.0
Marvelous Nakamba,2900000.0
Milos Kerkez,17900000.0
Zeki Amdouni,18600000.0
Ethan Ampadu,8100000.0
Bénie Traoré,4600000.0
Mads Hermansen,7700000.0
Mads Bidstrup,6000000.0
Dion Sanderson,2300000.0
Halil Dervisoglu,500000.0
Declan Rice,116600000.0
Yangel Herrera,5000000.0
Jurrien Timber,40000000.0
Tahith Chong,4700000.0
Anis Slimane,2700000.0
George Hirst,1800000.0
Romain Faivre,15000000.0
Christian Pulisic,20000000.0
Pau Torres,33000000.0
Shea Charles,12300000.0
Ishé Samuels-Smith,4700000.0
Ben Pearson,1500000.0
Morgan Rogers,1200000.0
Ellis Simms,7000000.0
Hayao Kawabe,1500000.0
Elijah Gift,800000.0
Granit Xhaka,15000000.0
Mason Mount,64200000.0
Nathan Collins,26900000.0
Bart Verbruggen,20000000.0
Sandro Tonali,64000000.0
Dominik Szoboszlai,70000000.0
João Pedro,34200000.0
Alexis Mac Allister,42000000.0
Matheus Cunha,50000000.0
Harry Winks,11600000.0
Conor Coady,8700000.0
Ethan Laird,900000.0
Nicolas Jackson,37000000.0
Ruben Loftus-Cheek,18500000.0
Kai Havertz ,75000000.0
James Maddison,46300000.0
Edouard Mendy,18500000.0
Mislav Orsic,2400000.0
Guglielmo Vicario,18500000.0
Mateo Kovacic,29100000.0
Zidane Iqbal,1000000.0
Kalidou Koulibaly,23000000.0
Dara O'Shea,7800000.0
Justin Kluivert,10800000.0
Rúben Neves,55000000.0
Christopher Nkunku,60000000.0
Dejan Kulusevski,30000000.0
Yankuba Minteh,8000000.0
Kevin Schade,25000000.0
Niels Nkounkou,2000000.0
Mark Flekken,13000000.0
Michael Obafemi,4000000.0
Chris Wood,17000000.0
Jordan Beyer,15000000.0
Hamed Junior Traoré,25600000.0
Pablo Marí,6200000.0
Arthur Masuaku,2000000.0
Pedro Porro,40000000.0
Boubacar Traoré,11000000.0
Moise Kean,30000000.0
